"","position","point_rate","steal_rate","block_rate","rebound_rate","foul_rate","race","matching_refs","time","team","opponent","majority_match"
"6584","G",27.8940027894003,1.11576011157601,0,1.11576011157601,2.23152022315202,"White",2,35.85,"LVA","CHI",1
"6585","G",7.75795190069822,1.55159038013964,0,7.75795190069822,4.65477114041893,"Black",1,25.78,"CHI","LVA",0
"6586","F",19.5121951219512,1.39372822299652,0,9.75609756097561,4.18118466898955,"White",2,28.7,"CHI","LVA",1
"6587","F-C",14.2433234421365,2.37388724035608,0,2.37388724035608,2.37388724035608,"Black",1,16.85,"CHI","LVA",0
"6588","C",17.8677784395474,1.19118522930316,1.19118522930316,14.2942227516379,1.19118522930316,"Black",1,33.58,"CHI","LVA",0
"6589","G",7.12694877505568,0,0,3.56347438752784,3.56347438752784,"White",2,22.45,"CHI","LVA",1
"6590","G",0,4.63499420625724,0,4.63499420625724,4.63499420625724,"White",2,8.63,"CHI","LVA",1
"6591","G",8.71776244097348,1.45296040682891,0,4.35888122048674,4.35888122048674,"White",2,27.53,"CHI","LVA",1
"6592","F",35.7827476038339,0,0,5.11182108626198,6.38977635782748,"Black",1,31.3,"CHI","LVA",0
"6593","F",21.3371266002845,0,2.84495021337127,14.2247510668563,2.84495021337127,"Black",1,28.12,"CON","ATL",0
"6594","G",8.80503144654088,0,0,2.51572327044025,5.0314465408805,"Black",1,31.8,"CON","ATL",0
"6595","G-F",6.32911392405063,0,0,9.49367088607595,6.32911392405063,"Black",1,25.28,"CON","ATL",0
"6596","F",23.8095238095238,0,5.95238095238095,11.9047619047619,0,"Black",1,6.72,"CON","ATL",0
"6597","G",11.4425827543931,1.63465467919902,0,1.63465467919902,3.26930935839804,"Black",1,24.47,"CON","ATL",0
"6598","G",29.6983758700696,0,0,0,0,"White",2,21.55,"CON","ATL",1
"6599","G-F",10.6100795755968,0,2.6525198938992,13.262599469496,2.6525198938992,"Black",1,15.08,"CON","ATL",0
"6600","F",10.9469074986316,0,0,15.3256704980843,2.18938149972633,"Black",1,18.27,"CON","ATL",0
"6601","F",38.6847195357834,0,0,38.6847195357834,0,"Black",1,5.17,"CON","ATL",0
"6602","C",25.7708237459733,5.52231937413714,1.84077312471238,22.0892774965486,5.52231937413714,"Black",1,21.73,"CON","ATL",0
"6603","F",21.8778486782133,0,0,7.2926162260711,0,"Black",1,10.97,"ATL","CON",0
"6604","F",11.0880110880111,0,0,13.8600138600139,5.54400554400554,"Black",1,14.43,"ATL","CON",0
"6605","G",5.34045393858478,0,2.67022696929239,2.67022696929239,13.3511348464619,"White",2,14.98,"ATL","CON",1
"6606","G",21.6736905478627,1.20409391932571,0,7.22456351595424,1.20409391932571,"Black",1,33.22,"ATL","CON",0
"6607","G",9.81461286804798,0,1.09051254089422,3.27153762268266,2.18102508178844,"Black",1,36.68,"ATL","CON",0
"6608","F",7.89473684210526,0,0,13.1578947368421,0,"Black",1,15.2,"ATL","CON",0
"6609","F",19.1978059650326,2.74254370929037,1.37127185464518,8.2276311278711,2.74254370929037,"Black",1,29.17,"ATL","CON",0
"6610","F",4.01606425702811,4.01606425702811,0,2.00803212851406,10.0401606425703,"Black",1,19.92,"ATL","CON",0
"6611","C",9.43767204089658,1.57294534014943,1.57294534014943,6.29178136059772,1.57294534014943,"Black",1,25.43,"ATL","CON",0
"6612","G",8.80503144654088,1.25786163522013,0,8.80503144654088,3.77358490566038,"Black",0,31.8,"ATL","WAS",0
"6613","F-C",12.6984126984127,6.34920634920635,0,12.6984126984127,6.34920634920635,"White",3,12.6,"ATL","WAS",1
"6614","G",18.5538881309686,3.27421555252387,1.09140518417462,10.9140518417462,3.27421555252387,"Black",0,36.65,"ATL","WAS",0
"6615","C",16.6559897501602,1.28122998078155,0,6.40614990390775,2.5624599615631,"Black",0,31.22,"ATL","WAS",0
"6616","F",12.1396054628225,1.21396054628225,0,13.3535660091047,1.21396054628225,"Black",0,32.95,"ATL","WAS",0
"6617","G",34.1463414634146,0,0,4.87804878048781,14.6341463414634,"Black",0,8.2,"ATL","WAS",0
"6618","F",11.2907364639466,4.10572235052605,2.05286117526302,3.07929176289453,3.07929176289453,"Black",0,38.97,"ATL","WAS",0
"6619","G",19.5394277739009,0,0,11.1653872993719,2.79134682484299,"White",3,14.33,"WAS","ATL",1
